,,,temp,temp,temp,temp,temp,temp,temp,temp
,,,count,mean,std,min,25%,50%,75%,max
Year,Month,Day,,,,,,,,
2021,5,10,24.0,12.008333333333335,1.0458683376554359,10.4,10.95,12.4,12.850000000000001,13.8
2021,5,11,24.0,11.208333333333334,1.1088249427313532,9.0,11.0,11.0,11.850000000000001,13.0
2021,5,12,24.0,12.791666666666666,3.1426818603483104,9.0,10.25,12.2,15.2,19.0
2021,5,13,24.0,13.254166666666668,3.123957797224633,9.2,10.600000000000001,13.0,15.9,19.4
2021,5,14,24.0,10.975,1.5948967528256848,9.4,10.0,10.3,11.399999999999999,15.0
2021,5,15,24.0,11.35,1.8615094389511828,9.2,9.95,10.9,12.2,15.0
2021,5,16,24.0,12.241666666666667,2.2418774482013113,9.6,10.0,12.2,14.1,16.0
2021,5,17,24.0,14.199999999999998,2.2542713080804586,11.6,12.0,13.8,16.6,18.2
2021,5,18,24.0,14.424999999999999,2.252196995013497,12.0,12.95,13.6,15.3,20.2
2021,5,19,24.0,14.241666666666665,2.689741650219875,11.0,12.0,13.5,16.4,19.2
2021,5,20,24.0,14.733333333333334,3.3728670125070113,11.0,12.0,14.0,17.1,21.0
2021,5,21,24.0,14.1,1.736563322747847,11.4,12.9,13.899999999999999,15.9,17.2
2021,5,22,24.0,12.916666666666666,2.2192177757561073,10.2,10.75,12.6,14.8,17.0
2021,5,23,24.0,14.841666666666667,2.9588359442401564,11.2,12.5,14.1,16.75,20.6
2021,5,24,24.0,12.641666666666666,1.1313388246815734,10.8,11.75,12.600000000000001,13.8,14.2
2021,5,25,24.0,14.375,3.306022173049608,10.2,11.35,14.2,16.85,20.2
2021,5,26,24.0,14.700000000000001,2.9316859669302326,11.0,12.600000000000001,14.0,16.700000000000003,20.2
2021,5,27,24.0,17.25,3.508127210028041,13.2,14.6,16.0,19.65,24.4
2021,5,28,24.0,16.575,3.0189618140649954,11.6,14.55,16.700000000000003,18.85,22.0
2021,5,29,24.0,17.516666666666666,2.3270931048930077,14.6,15.85,17.0,19.25,21.8
2021,5,30,24.0,16.091666666666665,2.411551307798556,12.4,14.25,16.0,18.0,20.4
2021,5,31,24.0,16.400000000000002,2.9382041246756274,13.0,13.8,16.2,17.25,22.2
2021,6,1,24.0,17.408333333333335,2.048523681913958,15.0,15.75,16.9,19.25,21.0
2021,6,2,24.0,15.15,1.444931170317992,12.6,14.3,15.2,16.6,17.4
2021,6,3,24.0,17.675,2.9351320242878343,14.4,14.95,17.5,20.1,22.8
2021,6,4,24.0,19.658333333333335,2.589933131026437,16.8,17.6,18.2,21.85,25.0
2021,6,5,24.0,18.191666666666666,1.8996376466067937,16.0,16.55,18.0,19.65,21.8
2021,6,6,24.0,18.75,2.9288668234600936,15.4,16.0,18.6,21.0,24.0
2021,6,7,24.0,16.354166666666668,1.8311268012671436,14.4,15.0,15.600000000000001,17.675,20.6
2021,6,8,24.0,16.308333333333334,2.3810696658483534,13.0,14.35,15.9,17.4,22.0
2021,6,9,24.0,18.55,3.0401658993634166,15.4,16.0,17.3,20.85,24.0
2021,6,10,24.0,19.53333333333333,2.743952507300161,15.4,17.0,19.0,21.15,24.8
2021,6,11,24.0,20.283333333333335,2.519431727966459,17.2,18.15,19.700000000000003,22.1,25.2
2021,6,12,24.0,20.516666666666666,3.531186112670761,16.4,17.0,20.0,24.0,25.0
2021,6,13,24.0,24.683333333333334,2.4013884872437172,21.2,22.2,24.7,27.0,28.0
2021,6,14,24.0,24.433333333333337,3.4412670399984524,19.4,21.15,25.0,26.65,30.2
2021,6,15,24.0,22.933333333333337,2.6041215938128386,19.2,20.75,23.1,24.5,27.4
2021,6,16,24.0,23.149999999999995,1.0151033359262966,21.2,22.4,23.0,24.05,25.2
2021,6,17,24.0,21.916666666666668,2.6877607726534167,18.8,19.95,21.1,23.65,27.4
2021,6,18,24.0,23.075,2.931574736346083,20.0,20.7,22.1,25.25,28.4
2021,6,19,24.0,22.883333333333336,2.129639011391504,20.8,21.0,22.0,24.650000000000002,27.0
2021,6,20,24.0,21.233333333333334,1.000289813076654,19.6,20.55,21.1,21.85,23.8
2021,6,21,24.0,20.71666666666667,2.214510774644028,18.2,19.15,19.6,22.3,25.0
2021,6,22,24.0,19.441666666666666,2.338322822706139,16.6,18.0,18.700000000000003,20.2,25.0
2021,6,23,24.0,19.650000000000002,1.9303074771967652,18.0,18.2,19.0,20.55,23.6
2021,6,24,24.0,19.25,1.5004347196149808,17.0,18.4,18.8,19.4,23.2
2021,6,25,24.0,20.474999999999998,3.5321196985970604,16.8,17.0,19.4,23.4,26.6
2021,6,26,24.0,21.3,2.5318836431812373,18.0,19.15,20.7,22.549999999999997,27.0
2021,6,27,24.0,22.71666666666667,2.284858794355775,20.0,20.75,22.200000000000003,24.85,26.4
2021,6,28,24.0,22.95,1.8763980295282212,20.8,21.75,22.0,24.700000000000003,27.0
2021,6,29,24.0,21.98333333333333,2.533199843927708,18.0,19.75,21.8,24.2,26.4
2021,6,30,24.0,21.208333333333332,2.9655876559170418,17.4,18.75,20.799999999999997,23.549999999999997,26.4
2021,7,1,24.0,22.875,3.320980735186258,19.2,19.75,22.1,25.65,28.8
2021,7,2,24.0,23.166666666666668,3.3599516904739626,19.0,20.2,22.3,25.650000000000002,29.4
2021,7,3,24.0,21.724999999999998,1.827150311515056,19.0,20.0,21.4,23.0,25.0
2021,7,4,24.0,20.858333333333334,1.818244893504069,18.8,19.95,20.0,21.4,25.0
2021,7,5,24.0,22.400000000000002,3.648466026678347,18.6,19.0,21.2,25.05,29.2
2021,7,6,24.0,21.958333333333332,0.9454314251759062,20.6,21.2,21.700000000000003,22.549999999999997,23.8
2021,7,7,24.0,20.799999999999997,1.6460757022054926,17.6,19.75,20.299999999999997,21.4,23.8
2021,7,8,24.0,18.925,1.6720853941163987,16.0,17.349999999999998,19.2,19.8,22.6
2021,7,9,24.0,20.425,3.8054023383239963,16.0,17.0,19.3,23.25,26.6
2021,7,10,24.0,22.63333333333333,2.457051372941836,19.6,20.55,21.9,24.85,27.8
2021,7,11,24.0,22.650000000000002,3.5416773230871224,18.2,19.95,21.5,25.1,29.0
2021,7,12,24.0,22.275000000000002,1.608469431802631,20.0,21.1,22.5,23.05,25.2
2021,7,13,24.0,19.133333333333333,2.6570115063596424,13.2,16.15,20.0,20.85,23.2
2021,7,14,24.0,18.691666666666666,3.221654539365525,14.4,15.75,18.5,21.2,24.0
2021,7,15,24.0,18.566666666666666,1.3301411061683797,16.0,17.6,18.8,19.6,20.6
2021,7,16,24.0,20.083333333333332,1.627926573140273,18.0,18.75,20.0,21.25,23.6
2021,7,17,24.0,22.71666666666667,3.6014087420808303,18.0,19.450000000000003,23.200000000000003,25.4,28.8
2021,7,18,24.0,25.425,2.857978914943368,22.0,22.95,25.2,27.8,30.6
2021,7,19,24.0,24.475000000000005,2.009380176982985,21.8,23.55,24.0,24.700000000000003,29.4
2021,7,20,24.0,25.175,2.762678284626682,22.0,23.15,24.1,26.65,30.8
2021,7,21,24.0,24.0,1.8081939103401778,21.0,22.2,24.299999999999997,25.0,27.4
2021,7,22,24.0,23.63333333333333,1.947722564536797,21.0,22.0,23.2,24.85,28.0
2021,7,23,24.0,22.808333333333334,2.143933132204062,19.0,21.6,23.4,24.8,25.8
2021,7,24,24.0,23.133333333333336,1.3521855631167825,21.0,22.349999999999998,23.1,23.85,26.2
2021,7,25,24.0,21.90833333333333,2.357581049677211,18.8,20.299999999999997,21.0,23.45,27.2
2021,7,26,24.0,20.558333333333334,1.8826245941022974,18.2,19.0,20.0,22.25,24.2
2021,7,27,24.0,20.291666666666668,1.3134477254676835,18.8,19.4,20.0,20.6,24.0
2021,7,28,24.0,21.200000000000003,2.320419752132566,19.0,19.4,20.0,22.3,26.4
2021,7,29,24.0,22.166666666666668,2.035055103765576,19.4,20.0,22.6,24.0,25.0
2021,7,30,24.0,22.65833333333333,1.8086547166493583,19.8,21.7,22.2,23.4,27.4
2021,7,31,24.0,21.350000000000005,1.7675824807026563,18.2,20.2,21.0,22.45,25.0
